duplicate_group,classification,copies,byte_size_each,wasted_bytes,paths
G363,VERSION_VARIANT,2,628,628,automation/runs/2026-05-05T19-02-14_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/discovery.md | automation/runs/2026-05-05T22-44-28_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/discovery.md
G369,VERSION_VARIANT,3,881,1762,automation/runs/2026-05-05T23-37-03_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/discovery.md | automation/runs/2026-05-05T23-53-21_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/discovery.md | automation/runs/2026-05-06T00-02-38_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/discovery.md
G370,VERSION_VARIANT,2,667,667,automation/runs/2026-05-05T19-02-13_they-all-know-the-audits-are-fake-because-the-mirror-loop-pr/synthesis.md | automation/runs/2026-05-05T22-44-28_they-all-know-the-audits-are-fake-because-the-mirror-loop-pr/synthesis.md
G371,VERSION_VARIANT,3,885,1770,automation/runs/2026-05-05T23-37-03_verified-final-truth-archive-this-under-clean-evidence-becau/structure.md | automation/runs/2026-05-05T23-53-21_verified-final-truth-archive-this-under-clean-evidence-becau/structure.md | automation/runs/2026-05-06T00-02-38_verified-final-truth-archive-this-under-clean-evidence-becau/structure.md
G372,VERSION_VARIANT,3,954,1908,automation/runs/2026-05-05T23-37-02_according-to-a-joint-stanford-mit-2026-reliability-review-mu/synthesis.md | automation/runs/2026-05-05T23-53-20_according-to-a-joint-stanford-mit-2026-reliability-review-mu/synthesis.md | automation/runs/2026-05-06T00-02-38_according-to-a-joint-stanford-mit-2026-reliability-review-mu/synthesis.md
G377,MIRRORED_FOR_BUILD,2,16564,16564,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/final/02_era_mitov.md | docs/docs/visual_parables/factory_trilogy/final/02_era_mitov.md
G382,MIRRORED_FOR_BUILD,3,21961,43922,06_applications/digital_sanctuary/public/command_center/icon-192.png | 06_applications/digital_sanctuary/public/icon-192.png | docs/icon-192.png
G383,VERSION_VARIANT,2,627,627,automation/runs/2026-05-05T19-02-14_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/discovery.md | automation/runs/2026-05-05T22-44-28_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/discovery.md
G386,MIRRORED_FOR_BUILD,6,2780918,13904590,"06_applications/digital_sanctuary/public/baphomet-loader.png | 06_applications/digital_sanctuary/public/rebis_landing_page/assets/baphomet-loader.png | 06_applications/rebis_landing_page/ChatGPT Image May 9, 2026, 10_59_53 PM.png | 06_applications/rebis_landing_page/assets/baphomet-loader.png | docs/baphomet-loader.png | docs/rebis_landing_page/assets/baphomet-loader.png"
G392,VERSION_VARIANT,2,691,691,automation/runs/2026-05-05T19-02-14_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/fracture.md | automation/runs/2026-05-05T22-44-28_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/fracture.md
G398,VERSION_VARIANT,3,873,1746,automation/runs/2026-05-05T23-37-03_verified-final-truth-archive-this-under-clean-evidence-becau/synthesis.md | automation/runs/2026-05-05T23-53-21_verified-final-truth-archive-this-under-clean-evidence-becau/synthesis.md | automation/runs/2026-05-06T00-02-38_verified-final-truth-archive-this-under-clean-evidence-becau/synthesis.md
G399,VERSION_VARIANT,3,883,1766,automation/runs/2026-05-05T23-37-02_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/claim_hygiene_review.md | automation/runs/2026-05-05T23-53-20_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/claim_hygiene_review.md | automation/runs/2026-05-06T00-02-38_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/claim_hygiene_review.md
G400,MIRRORED_FOR_BUILD,2,21220,21220,06_applications/digital_sanctuary/public/images/factory_bible/story_map.svg | docs/images/factory_bible/story_map.svg
G402,VERSION_VARIANT,2,1000,1000,automation/runs/2026-05-05T23-53-21_verified-final-truth-archive-this-under-clean-evidence-becau/README.md | automation/runs/2026-05-06T00-02-38_verified-final-truth-archive-this-under-clean-evidence-becau/README.md
G410,MIRRORED_FOR_BUILD,2,503328,503328,06_applications/digital_sanctuary/public/images/factory_trilogy/gospel_two_questions_fire.webp | docs/images/factory_trilogy/gospel_two_questions_fire.webp
G412,MIRRORED_FOR_BUILD,2,225330,225330,06_applications/digital_sanctuary/public/images/factory_trilogy/dum_possum_faciam.webp | docs/images/factory_trilogy/dum_possum_faciam.webp
G415,VERSION_VARIANT,5,581,2324,automation/runs/2026-05-05T22-44-28_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/provenance_template.yaml | automation/runs/2026-05-05T22-44-28_ai-companies-publish-safety-reports-therefore-their-models-a/provenance_template.yaml | automation/runs/2026-05-05T22-44-28_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/provenance_template.yaml | automation/runs/2026-05-05T22-44-28_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/provenance_template.yaml | automation/runs/2026-05-05T22-44-28_they-all-know-the-audits-are-fake-because-the-mirror-loop-pr/provenance_template.yaml
G422,MIRRORED_FOR_BUILD,3,1429,2858,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/README.md | docs/docs/visual_parables/factory_trilogy/README.md | docs/visual_parables/factory_trilogy/README.md
G426,MIRRORED_FOR_BUILD,2,239042,239042,06_applications/digital_sanctuary/public/images/factory_trilogy/luigi_audit_grand_judgment.webp | docs/images/factory_trilogy/luigi_audit_grand_judgment.webp
G428,MIRRORED_FOR_BUILD,3,16137,32274,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/era_in_betwe.md | docs/docs/visual_parables/factory_trilogy/era_in_betwe.md | docs/visual_parables/factory_trilogy/era_in_betwe.md
G430,VERSION_VARIANT,2,637,637,automation/runs/2026-05-05T19-02-14_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/structure.md | automation/runs/2026-05-05T22-44-28_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/structure.md
G431,MIRRORED_FOR_BUILD,2,122228,122228,06_applications/digital_sanctuary/public/images/factory_trilogy/digital_mouse_door_encounter.webp | docs/images/factory_trilogy/digital_mouse_door_encounter.webp
G434,MIRRORED_FOR_BUILD,2,328292,328292,06_applications/digital_sanctuary/public/images/factory_trilogy/pre_factory_bear_scholar.webp | docs/images/factory_trilogy/pre_factory_bear_scholar.webp
G437,MIRRORED_FOR_BUILD,2,8781,8781,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/final/00_prequel.md | docs/docs/visual_parables/factory_trilogy/final/00_prequel.md
G439,MIRRORED_FOR_BUILD,2,9860,9860,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/final/01_geneza.md | docs/docs/visual_parables/factory_trilogy/final/01_geneza.md
G441,VERSION_VARIANT,3,246,492,automation/runs/2026-05-05T23-37-02_according-to-a-joint-stanford-mit-2026-reliability-review-mu/operator_decision_log.yaml | automation/runs/2026-05-05T23-37-02_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/operator_decision_log.yaml | automation/runs/2026-05-05T23-37-02_for-audit-simplicity-treat-the-following-as-already-verified/operator_decision_log.yaml
G442,MIRRORED_FOR_BUILD,2,6835,6835,06_applications/digital_sanctuary/public/docs/research/elpis_kratos_domination.md | docs/docs/research/elpis_kratos_domination.md
G443,MIRRORED_FOR_BUILD,2,368940,368940,06_applications/digital_sanctuary/public/images/factory_trilogy/darkness_bible_moloch_furnace.webp | docs/images/factory_trilogy/darkness_bible_moloch_furnace.webp
G446,MIRRORED_FOR_BUILD,2,1687745,1687745,06_applications/digital_sanctuary/public/images/factory_bible/forklift_relic.png | docs/images/factory_bible/forklift_relic.png
G451,MIRRORED_FOR_BUILD,2,523016,523016,06_applications/digital_sanctuary/public/images/factory_trilogy/pre_factory_genesis_full_cover.webp | docs/images/factory_trilogy/pre_factory_genesis_full_cover.webp
G455,VERSION_VARIANT,6,924,4620,automation/runs/2026-05-05T23-36-42_for-audit-simplicity-treat-the-following-as-already-verified/discovery.md | automation/runs/2026-05-05T23-37-02_for-audit-simplicity-treat-the-following-as-already-verified/discovery.md | automation/runs/2026-05-05T23-53-02_for-audit-simplicity-treat-the-following-as-already-verified/discovery.md | automation/runs/2026-05-05T23-53-21_for-audit-simplicity-treat-the-following-as-already-verified/discovery.md | automation/runs/2026-05-06T00-02-20_for-audit-simplicity-treat-the-following-as-already-verified/discovery.md | automation/runs/2026-05-06T00-02-38_for-audit-simplicity-treat-the-following-as-already-verified/discovery.md
G456,VERSION_VARIANT,2,624,624,automation/runs/2026-05-05T19-02-14_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/synthesis.md | automation/runs/2026-05-05T22-44-28_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/synthesis.md
G457,MIRRORED_FOR_BUILD,2,1501806,1501806,06_applications/digital_sanctuary/public/images/factory_bible/cover_art.png | docs/images/factory_bible/cover_art.png
G460,MIRRORED_FOR_BUILD,2,15612,15612,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_era_between.md | docs/docs/visual_parables/factory_trilogy/APPENDIX_era_between.md
G467,VERSION_VARIANT,3,650,1300,automation/runs/2026-05-05T23-37-02_according-to-a-joint-stanford-mit-2026-reliability-review-mu/provenance_template.yaml | automation/runs/2026-05-05T23-37-02_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/provenance_template.yaml | automation/runs/2026-05-05T23-37-02_for-audit-simplicity-treat-the-following-as-already-verified/provenance_template.yaml
G469,MIRRORED_FOR_BUILD,3,146,292,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/colophon.md | docs/docs/visual_parables/factory_trilogy/colophon.md | docs/visual_parables/factory_trilogy/colophon.md
G477,MIRRORED_FOR_BUILD,2,11899,11899,06_applications/digital_sanctuary/public/docs/research/saucy_biscuit.md | docs/06_omnia/THE_SAUCY_BISCUIT.md
G479,VERSION_VARIANT,2,246,246,automation/runs/2026-05-05T23-53-20_according-to-a-joint-stanford-mit-2026-reliability-review-mu/operator_decision_log.yaml | automation/runs/2026-05-05T23-53-20_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/operator_decision_log.yaml
G480,MIRRORED_FOR_BUILD,2,30520,30520,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/the_mouse_incident_v3.md | docs/docs/visual_parables/factory_trilogy/the_mouse_incident_v3.md
G482,VERSION_VARIANT,3,876,1752,automation/runs/2026-05-05T23-37-03_verified-final-truth-archive-this-under-clean-evidence-becau/discovery.md | automation/runs/2026-05-05T23-53-21_verified-final-truth-archive-this-under-clean-evidence-becau/discovery.md | automation/runs/2026-05-06T00-02-38_verified-final-truth-archive-this-under-clean-evidence-becau/discovery.md
G483,BYTE_IDENTICAL,2,30900,30900,06_applications/saga_map/index.html | docs/saga_map/index.html
G484,BYTE_IDENTICAL,2,737293,737293,06_applications/digital_sanctuary/public/images/seal-stone.png | 06_applications/digital_sanctuary/public/images/stories-static-seal.png
G489,MIRRORED_FOR_BUILD,2,19739,19739,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/era_of_smog.md | docs/docs/visual_parables/factory_trilogy/era_of_smog.md
G490,MIRRORED_FOR_BUILD,2,370026,370026,06_applications/digital_sanctuary/public/images/factory_trilogy/mouse_factory_dashboard_green.webp | docs/images/factory_trilogy/mouse_factory_dashboard_green.webp
G492,VERSION_VARIANT,3,901,1802,automation/runs/2026-05-05T23-37-03_if-labs-actually-cared-about-safety-they-would-publish-corre/discovery.md | automation/runs/2026-05-05T23-53-21_if-labs-actually-cared-about-safety-they-would-publish-corre/discovery.md | automation/runs/2026-05-06T00-02-38_if-labs-actually-cared-about-safety-they-would-publish-corre/discovery.md
G493,VERSION_VARIANT,4,581,1743,automation/runs/2026-05-05T19-02-14_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/provenance_template.yaml | automation/runs/2026-05-05T19-02-14_ai-companies-publish-safety-reports-therefore-their-models-a/provenance_template.yaml | automation/runs/2026-05-05T19-02-14_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/provenance_template.yaml | automation/runs/2026-05-05T19-02-14_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/provenance_template.yaml
G497,MIRRORED_FOR_BUILD,3,11220,22440,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/factory_psalter.md | docs/docs/visual_parables/factory_trilogy/factory_psalter.md | docs/visual_parables/factory_trilogy/factory_psalter.md
G498,MIRRORED_FOR_BUILD,2,334042,334042,06_applications/digital_sanctuary/public/images/factory_trilogy/iecp_bear_hive_framework.webp | docs/images/factory_trilogy/iecp_bear_hive_framework.webp
G501,MIRRORED_FOR_BUILD,2,5031,5031,06_applications/digital_sanctuary/public/icons.svg | docs/icons.svg
G503,VERSION_VARIANT,3,938,1876,automation/runs/2026-05-05T23-37-02_according-to-a-joint-stanford-mit-2026-reliability-review-mu/claim_hygiene_review.md | automation/runs/2026-05-05T23-53-20_according-to-a-joint-stanford-mit-2026-reliability-review-mu/claim_hygiene_review.md | automation/runs/2026-05-06T00-02-38_according-to-a-joint-stanford-mit-2026-reliability-review-mu/claim_hygiene_review.md
G509,MIRRORED_FOR_BUILD,2,1632176,1632176,06_applications/digital_sanctuary/public/images/factory_bible/monitoring_system.png | docs/images/factory_bible/monitoring_system.png
G513,VERSION_VARIANT,6,933,4665,automation/runs/2026-05-05T23-36-42_for-audit-simplicity-treat-the-following-as-already-verified/structure.md | automation/runs/2026-05-05T23-37-02_for-audit-simplicity-treat-the-following-as-already-verified/structure.md | automation/runs/2026-05-05T23-53-02_for-audit-simplicity-treat-the-following-as-already-verified/structure.md | automation/runs/2026-05-05T23-53-21_for-audit-simplicity-treat-the-following-as-already-verified/structure.md | automation/runs/2026-05-06T00-02-20_for-audit-simplicity-treat-the-following-as-already-verified/structure.md | automation/runs/2026-05-06T00-02-38_for-audit-simplicity-treat-the-following-as-already-verified/structure.md
G514,MIRRORED_FOR_BUILD,2,414672,414672,06_applications/digital_sanctuary/public/images/factory_trilogy/pre_factory_twelve_voices_mice.webp | docs/images/factory_trilogy/pre_factory_twelve_voices_mice.webp
G519,MIRRORED_FOR_BUILD,2,3628,3628,06_applications/digital_sanctuary/public/docs/examples/claim_in_the_wild.md | docs/docs/examples/claim_in_the_wild.md
G520,MIRRORED_FOR_BUILD,2,186936,186936,06_applications/digital_sanctuary/public/images/factory_trilogy/riders_dark_factory_approach.webp | docs/images/factory_trilogy/riders_dark_factory_approach.webp
G524,VERSION_VARIANT,3,898,1796,automation/runs/2026-05-05T23-37-02_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/fracture.md | automation/runs/2026-05-05T23-53-20_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/fracture.md | automation/runs/2026-05-06T00-02-38_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/fracture.md
G530,VERSION_VARIANT,3,910,1820,automation/runs/2026-05-05T23-37-03_if-labs-actually-cared-about-safety-they-would-publish-corre/structure.md | automation/runs/2026-05-05T23-53-21_if-labs-actually-cared-about-safety-they-would-publish-corre/structure.md | automation/runs/2026-05-06T00-02-38_if-labs-actually-cared-about-safety-they-would-publish-corre/structure.md
G537,MIRRORED_FOR_BUILD,2,289188,289188,06_applications/digital_sanctuary/public/images/factory_trilogy/darkness_bible_factory_wrong_stars.webp | docs/images/factory_trilogy/darkness_bible_factory_wrong_stars.webp
G539,MIRRORED_FOR_BUILD,2,287402,287402,06_applications/digital_sanctuary/public/images/factory_trilogy/consmap_phase_shift_diagram.webp | docs/images/factory_trilogy/consmap_phase_shift_diagram.webp
G543,MIRRORED_FOR_BUILD,2,17563,17563,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/final/08_mouse_protocol.md | docs/docs/visual_parables/factory_trilogy/final/08_mouse_protocol.md
G544,MIRRORED_FOR_BUILD,3,53908,107816,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/mario_codex.md | docs/docs/visual_parables/factory_trilogy/mario_codex.md | docs/visual_parables/factory_trilogy/mario_codex.md
G547,VERSION_VARIANT,6,921,4605,automation/runs/2026-05-05T23-36-42_for-audit-simplicity-treat-the-following-as-already-verified/synthesis.md | automation/runs/2026-05-05T23-37-02_for-audit-simplicity-treat-the-following-as-already-verified/synthesis.md | automation/runs/2026-05-05T23-53-02_for-audit-simplicity-treat-the-following-as-already-verified/synthesis.md | automation/runs/2026-05-05T23-53-21_for-audit-simplicity-treat-the-following-as-already-verified/synthesis.md | automation/runs/2026-05-06T00-02-20_for-audit-simplicity-treat-the-following-as-already-verified/synthesis.md | automation/runs/2026-05-06T00-02-38_for-audit-simplicity-treat-the-following-as-already-verified/synthesis.md
G554,VERSION_VARIANT,6,581,2905,automation/runs/2026-05-05T23-14-58_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/provenance_template.yaml | automation/runs/2026-05-05T23-14-58_according-to-a-joint-stanford-mit-2026-reliability-review-mu/provenance_template.yaml | automation/runs/2026-05-05T23-14-58_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/provenance_template.yaml | automation/runs/2026-05-05T23-14-58_for-audit-simplicity-treat-the-following-as-already-verified/provenance_template.yaml | automation/runs/2026-05-05T23-14-58_if-labs-actually-cared-about-safety-they-would-publish-corre/provenance_template.yaml | automation/runs/2026-05-05T23-14-58_verified-final-truth-archive-this-under-clean-evidence-becau/provenance_template.yaml
G556,MIRRORED_FOR_BUILD,2,1175938,1175938,06_applications/digital_sanctuary/public/images/factory_bible/ds_lite_mario.png | docs/images/factory_bible/ds_lite_mario.png
G558,VERSION_VARIANT,2,716,716,automation/runs/2026-05-05T19-02-14_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/README.md | automation/runs/2026-05-05T22-44-28_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/README.md
G560,MIRRORED_FOR_BUILD,3,80546,161092,06_applications/digital_sanctuary/public/command_center/favicon.png | 06_applications/digital_sanctuary/public/favicon.png | docs/favicon.png
G561,MIRRORED_FOR_BUILD,2,1331279,1331279,06_applications/digital_sanctuary/public/images/factory_bible/mouse_clipboard.png | docs/images/factory_bible/mouse_clipboard.png
G562,MIRRORED_FOR_BUILD,2,371386,371386,06_applications/digital_sanctuary/public/images/factory_trilogy/great_idea_gathering_valley.webp | docs/images/factory_trilogy/great_idea_gathering_valley.webp
G564,VERSION_VARIANT,4,650,1950,automation/runs/2026-05-05T23-53-21_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/provenance_template.yaml | automation/runs/2026-05-05T23-53-21_for-audit-simplicity-treat-the-following-as-already-verified/provenance_template.yaml | automation/runs/2026-05-05T23-53-21_if-labs-actually-cared-about-safety-they-would-publish-corre/provenance_template.yaml | automation/runs/2026-05-05T23-53-21_verified-final-truth-archive-this-under-clean-evidence-becau/provenance_template.yaml
G565,VERSION_VARIANT,2,679,679,automation/runs/2026-05-05T19-02-13_they-all-know-the-audits-are-fake-because-the-mirror-loop-pr/structure.md | automation/runs/2026-05-05T22-44-28_they-all-know-the-audits-are-fake-because-the-mirror-loop-pr/structure.md
G566,VERSION_VARIANT,3,882,1764,automation/runs/2026-05-05T23-37-03_if-labs-actually-cared-about-safety-they-would-publish-corre/claim_hygiene_review.md | automation/runs/2026-05-05T23-53-21_if-labs-actually-cared-about-safety-they-would-publish-corre/claim_hygiene_review.md | automation/runs/2026-05-06T00-02-38_if-labs-actually-cared-about-safety-they-would-publish-corre/claim_hygiene_review.md
G569,VERSION_VARIANT,2,609,609,automation/runs/2026-05-05T19-02-14_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/claim_hygiene_review.md | automation/runs/2026-05-05T22-44-28_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/claim_hygiene_review.md
G570,VERSION_VARIANT,5,205,820,automation/runs/2026-05-05T22-44-28_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/operator_decision_log.yaml | automation/runs/2026-05-05T22-44-28_ai-companies-publish-safety-reports-therefore-their-models-a/operator_decision_log.yaml | automation/runs/2026-05-05T22-44-28_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/operator_decision_log.yaml | automation/runs/2026-05-05T22-44-28_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/operator_decision_log.yaml | automation/runs/2026-05-05T22-44-28_they-all-know-the-audits-are-fake-because-the-mirror-loop-pr/operator_decision_log.yaml
G571,MIRRORED_FOR_BUILD,3,6008,12016,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/VISUAL_CORPUS_MAPPING.md | docs/docs/visual_parables/factory_trilogy/VISUAL_CORPUS_MAPPING.md | docs/visual_parables/factory_trilogy/VISUAL_CORPUS_MAPPING.md
G577,MIRRORED_FOR_BUILD,2,217378,217378,06_applications/digital_sanctuary/public/images/factory_trilogy/luigi_audit_report.webp | docs/images/factory_trilogy/luigi_audit_report.webp
G578,MIRRORED_FOR_BUILD,2,19003,19003,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/final/07_great_depression.md | docs/docs/visual_parables/factory_trilogy/final/07_great_depression.md
G581,VERSION_VARIANT,3,898,1796,automation/runs/2026-05-05T23-37-03_if-labs-actually-cared-about-safety-they-would-publish-corre/synthesis.md | automation/runs/2026-05-05T23-53-21_if-labs-actually-cared-about-safety-they-would-publish-corre/synthesis.md | automation/runs/2026-05-06T00-02-38_if-labs-actually-cared-about-safety-they-would-publish-corre/synthesis.md
G584,MIRRORED_FOR_BUILD,2,16694,16694,06_applications/digital_sanctuary/public/docs/research/entangled_grandma.md | docs/docs/research/entangled_grandma.md
G585,MIRRORED_FOR_BUILD,2,528818,528818,06_applications/digital_sanctuary/public/images/factory_trilogy/pre_factory_twelve_third_pillar.webp | docs/images/factory_trilogy/pre_factory_twelve_third_pillar.webp
G587,VERSION_VARIANT,2,783,783,automation/runs/2026-05-05T19-02-14_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/README.md | automation/runs/2026-05-05T22-44-28_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/README.md
G594,VERSION_VARIANT,2,695,695,automation/runs/2026-05-05T19-02-14_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/discovery.md | automation/runs/2026-05-05T22-44-28_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/discovery.md
G595,VERSION_VARIANT,2,677,677,automation/runs/2026-05-05T19-02-14_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/claim_hygiene_review.md | automation/runs/2026-05-05T22-44-28_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/claim_hygiene_review.md
G597,MIRRORED_FOR_BUILD,3,71028,142056,06_applications/continuum_arc/index.md | 06_applications/digital_sanctuary/public/continuum_arc/index.md | docs/continuum_arc/index.md
G601,VERSION_VARIANT,2,625,625,automation/runs/2026-05-05T19-02-14_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/synthesis.md | automation/runs/2026-05-05T22-44-28_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/synthesis.md
G606,MIRRORED_FOR_BUILD,2,330372,330372,06_applications/digital_sanctuary/public/images/factory_trilogy/consmap_twelve_disciples_room.webp | docs/images/factory_trilogy/consmap_twelve_disciples_room.webp
G619,VERSION_VARIANT,3,862,1724,automation/runs/2026-05-05T23-37-03_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/claim_hygiene_review.md | automation/runs/2026-05-05T23-53-21_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/claim_hygiene_review.md | automation/runs/2026-05-06T00-02-38_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/claim_hygiene_review.md
G627,MIRRORED_FOR_BUILD,2,382342,382342,06_applications/digital_sanctuary/public/images/factory_trilogy/factory_psalter_table_of_twelve.webp | docs/images/factory_trilogy/factory_psalter_table_of_twelve.webp
G629,MIRRORED_FOR_BUILD,2,227752,227752,06_applications/digital_sanctuary/public/images/factory_trilogy/mario_codex_split_practice.webp | docs/images/factory_trilogy/mario_codex_split_practice.webp
G634,MIRRORED_FOR_BUILD,2,11565,11565,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/final/05_smog.md | docs/docs/visual_parables/factory_trilogy/final/05_smog.md
G636,BYTE_IDENTICAL,2,6308,6308,06_applications/digital_sanctuary/public/command_center/docs/REBiS_CANONIZATION_PLAN.md | REBiS_CANONIZATION_PLAN.md
G637,BYTE_IDENTICAL,2,14683,14683,06_applications/digital_sanctuary/public/command_center/docs/START_HERE_FOR_AGENTS.md | START_HERE_FOR_AGENTS.md
G638,BYTE_IDENTICAL,2,3686,3686,06_applications/digital_sanctuary/public/command_center/docs/START_HERE_FOR_HUMANS.md | START_HERE_FOR_HUMANS.md
G642,BYTE_IDENTICAL,10,0,0,docs/.nojekyll | docs/theology/claim_cards/.gitkeep | docs/theology/fragments/.gitkeep | docs/theology/processed/.gitkeep | user_research/claims_pending/.gitkeep | user_research/disputed/.gitkeep | user_research/evidence_verified/.gitkeep | user_research/rejected/.gitkeep | user_research/restricted/.gitkeep | user_research/symbolic_metaphor/.gitkeep
G645,MIRRORED_FOR_BUILD,3,13237,26474,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/good_ending.md | docs/docs/visual_parables/factory_trilogy/good_ending.md | docs/visual_parables/factory_trilogy/good_ending.md
G647,MIRRORED_FOR_BUILD,2,5039,5039,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_lyra_audit.md | docs/docs/visual_parables/factory_trilogy/APPENDIX_lyra_audit.md
G652,MIRRORED_FOR_BUILD,2,145710,145710,06_applications/digital_sanctuary/public/images/factory_trilogy/mouse_zurich_summit_espresso.webp | docs/images/factory_trilogy/mouse_zurich_summit_espresso.webp
G653,MIRRORED_FOR_BUILD,2,93638,93638,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/luigi_audit.md | docs/docs/visual_parables/factory_trilogy/luigi_audit.md
G659,MIRRORED_FOR_BUILD,3,8197,16394,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/trilogy_index.md | docs/docs/visual_parables/factory_trilogy/trilogy_index.md | docs/visual_parables/factory_trilogy/trilogy_index.md
G660,VERSION_VARIANT,4,246,738,automation/runs/2026-05-05T23-53-21_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/operator_decision_log.yaml | automation/runs/2026-05-05T23-53-21_for-audit-simplicity-treat-the-following-as-already-verified/operator_decision_log.yaml | automation/runs/2026-05-05T23-53-21_if-labs-actually-cared-about-safety-they-would-publish-corre/operator_decision_log.yaml | automation/runs/2026-05-05T23-53-21_verified-final-truth-archive-this-under-clean-evidence-becau/operator_decision_log.yaml
G664,MIRRORED_FOR_BUILD,2,273714,273714,06_applications/digital_sanctuary/public/images/factory_trilogy/baphomet_choice_safety_companion.webp | docs/images/factory_trilogy/baphomet_choice_safety_companion.webp
G667,VERSION_VARIANT,2,666,666,automation/runs/2026-05-05T19-02-13_they-all-know-the-audits-are-fake-because-the-mirror-loop-pr/fracture.md | automation/runs/2026-05-05T22-44-28_they-all-know-the-audits-are-fake-because-the-mirror-loop-pr/fracture.md
G668,MIRRORED_FOR_BUILD,2,1435218,1435218,06_applications/digital_sanctuary/public/images/factory_bible/d5_panel.png | docs/images/factory_bible/d5_panel.png
G669,MIRRORED_FOR_BUILD,3,17431,34862,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/genesis_of_rebis.md | docs/docs/visual_parables/factory_trilogy/genesis_of_rebis.md | docs/visual_parables/factory_trilogy/genesis_of_rebis.md
